EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,TerminationDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction
52,Amber Foster,50373,Production Technician I,MA,08-06-1980,M ,Married,07-06-2016,NULL,Active,Production       ,Employee Referral,Exceeds,4.1,4
53,Timothy Harris,63108,Production Technician I,MA,09-08-1977,M ,Single,07-08-2013,NULL,Active,Production       ,Employee Referral,Fully Meets,4.4,5
54,Katie Wright,59144,Production Technician I,MA,08-12-1979,M ,Single,07-11-2011,09-03-2016,Terminated for Cause,Production       ,LinkedIn,Needs Improvement,2,3
55,Kevin Scott,68051,Production Manager,MA,12-07-1975,M ,Divorced,07-02-2010,NULL,Active,Production       ,CareerBuilder,Needs Improvement,4.13,2
56,Laura Carter,170500,Director of Operations,MA,03-09-1983,M ,Single,01-05-2009,NULL,Active,Production       ,Indeed,Exceeds,3.7,5
57,Thomas Rodriguez,63381,Production Technician I,MA,03-01-1977,F,Married,01-05-2015,NULL,Active,Production       ,Indeed,Fully Meets,4.73,5
58,Anna Reed,83552,Data Analyst,MA,08-06-1986,M ,Married,03-03-2015,NULL,Active,IT/IS,Indeed,Fully Meets,3.04,3
59,Zachary Sanchez,56149,Production Technician I,MA,04-10-1987,F,Single,07-06-2016,NULL,Active,Production       ,LinkedIn,Fully Meets,4.12,5
60,Jennifer Hughes,92329,Sr. Network Engineer,CT,09-09-1965,M ,Single,11-10-2014,NULL,Active,IT/IS,Employee Referral,Fully Meets,5,3
61,Alexander Murphy,65729,Sales Manager,VT,04-09-1990,F,Single,05-05-2014,NULL,Active,Sales,Indeed,Fully Meets,4.62,4
62,Erica Simmons,85028,Sr. Network Engineer,CT,01-08-1952,F,Married,11-10-2014,NULL,Active,IT/IS,LinkedIn,Fully Meets,3.1,5
63,Jacob Murphy,57583,Production Technician I,MA,11-05-1978,F,Married,07-02-2012,NULL,Active,Production       ,Indeed,Fully Meets,5,3
64,Melissa Edwards,56294,Production Technician II,MA,09-04-1979,M ,Single,11-07-2011,NULL,Active,Production       ,LinkedIn,Fully Meets,3.96,4
65,Samuel Wright,56991,Production Technician I,MA,04-05-1988,M ,Married,07-09-2018,NULL,Active,Production       ,Indeed,Fully Meets,4.3,4
66,Maria Phillips,55722,Production Technician I,MA,10-01-1977,M ,Married,05-06-2011,06-08-2016,Voluntarily Terminated,Production       ,Indeed,Fully Meets,5,4
67,Tyler Davis,101199,Software Engineer,MA,07-05-1979,F,Single,01-09-2012,NULL,Active,Engineering,CareerBuilder,Fully Meets,3.79,5
68,Lindsey Russell,61568,Area Sales Manager,AL,11-02-1975,M ,Single,09-09-2014,NULL,Active,Sales,Indeed,PIP,1.93,3
69,Nicholas Green,58275,Production Technician II,MA,02-05-1951,F,Separated,04-04-2011,11-04-2015,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4.62,5
70,Kayla Coleman,53189,Production Technician I,MA,04-09-1967,M ,Married,07-07-2014,NULL,Active,Production       ,Indeed,PIP,1.12,2
71,Eric Mitchell,96820,BI Developer,MA,09-04-1983,M ,Single,02-05-2017,NULL,Active,IT/IS,Indeed,Fully Meets,3.01,5
72,Shannon Bailey,51259,Production Technician I,MA,11-05-1982,M ,Single,05-12-2014,NULL,Active,Production       ,Indeed,Fully Meets,4.3,4
73,Patrick Lopez,59231,Area Sales Manager,WA,05-04-1987,F,Single,02-02-2012,NULL,Active,Sales,Website,PIP,2.3,1
74,Catherine Morris,61584,Production Technician I,MA,12-02-1978,F,Married,01-07-2013,NULL,Active,Production       ,Indeed,Needs Improvement,3.88,4
75,Benjamin Turner,46335,Production Technician I,MA,10-07-1986,F,Single,04-02-2012,NULL,Active,Production       ,CareerBuilder,Fully Meets,3.4,5
76,Holly Jenkins,70621,IT Support,MA,07-08-1988,F,Married,01-05-2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.11,4
77,Daniel Bell,138888,IT Manager - Support,MA,07-09-1970,M ,Single,01-05-2014,NULL,Active,IT/IS,Indeed,Exceeds,4.3,5
78,Stephanie Price,74241,Area Sales Manager,CA,11-08-1988,F,Single,01-10-2011,NULL,Active,Sales,Indeed,Exceeds,4.77,5
79,Matthew Walker,75188,Production Manager,MA,11-08-1973,F,Single,09-08-2014,NULL,Active,Production       ,Google Search,Fully Meets,4.52,4
80,Brittany Cox,62514,Production Technician I,MA,09-03-1973,F,Married,04-06-2010,NULL,Active,Production       ,Google Search,Fully Meets,2.9,3
81,Anthony Hall,60070,Production Technician I,MA,09-05-1991,F,Married,04-04-2011,06-06-2017,Voluntarily Terminated,Production       ,Google Search,Fully Meets,5,3
82,Victoria Turner,48888,Production Technician I,MA,05-01-1974,M ,Single,11-10-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,4.7,5
83,Christopher Wilson,54285,Production Technician I,MA,08-05-1978,M ,Married,03-01-2014,NULL,Active,Production       ,Employee Referral,Fully Meets,4.2,3
84,Courtney Adams,56847,Production Technician II,MA,08-05-1989,F,Separated,07-07-2014,NULL,Active,Production       ,Indeed,PIP,3,1
85,Justin Allen,60340,Production Technician I,MA,09-02-1983,M ,Single,04-02-2012,09-07-2018,Terminated for Cause,Production       ,Google Search,Needs Improvement,5,4
86,Allison Ward,59124,Production Technician I,MA,05-06-1989,F,Single,02-07-2014,02-05-2018,Terminated for Cause,Production       ,Google Search,Needs Improvement,2.3,3
87,Andrew Scott,99280,Software Engineer,MA,05-05-1987,F,Married,05-02-2011,06-05-2013,Terminated for Cause,Engineering,Indeed,Needs Improvement,2.1,5
88,Rachel Russell,71776,Production Technician II,MA,09-02-1978,F,Married,07-07-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,4.4,5
89,Jonathan Turner,65902,Production Technician II,MA,09-07-1987,F,Single,02-07-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,4,4
90,Erin Martinez,57748,Production Technician I,MA,04-04-1955,F,Married,11-07-2011,05-07-2016,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3.13,3
91,Robert Roberts,64057,Production Technician I,MA,10-08-1989,M ,Married,05-11-2015,NULL,Active,Production       ,Indeed,PIP,1.56,5
92,Megan Phillips,53366,Network Engineer,MA,06-08-1987,M ,Single,03-03-2015,NULL,Active,IT/IS,LinkedIn,PIP,1.2,3
93,Joshua Rodriguez,58530,Production Technician I,MA,03-06-1981,F,Married,01-09-2012,NULL,Active,Production       ,Google Search,Fully Meets,5,5
94,Kimberly James,72609,Production Technician II,MA,10-01-1981,M ,Single,05-06-2011,06-04-2013,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4.76,5
95,William Harris,55965,Production Technician II,MA,11-08-1983,F,Married,04-04-2011,01-09-2013,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3.66,3
96,Morgan Bennett,70187,Area Sales Manager,MA,07-07-1975,M ,Married,09-09-2014,08-09-2018,Terminated for Cause,Sales,Employee Referral,PIP,2,5
97,David Hernandez,178000,IT Director,MA,07-05-1980,M ,Single,04-05-2011,NULL,Active,IT/IS,Indeed,Exceeds,5,5
98,Amber Patterson,99351,Sr. Accountant,MA,04-06-1979,F,Married,01-05-2009,NULL,Active,Admin Offices,Other,Fully Meets,5,3
99,Michael Young,67251,Area Sales Manager,CT,08-08-1963,M ,Single,09-06-2011,NULL,Active,Sales,CareerBuilder,Fully Meets,4.3,3
100,Megan Mitchell,65707,IT Support,CT,07-06-1968,F,Single,05-01-2010,NULL,Active,IT/IS,LinkedIn,Fully Meets,4.7,4
101,Brian Clark,52249,Production Technician I,MA,09-05-1985,M ,Single,03-03-2015,NULL,Active,Production       ,Employee Referral,Fully Meets,4.5,3
102,Emily Adams,53171,Production Technician I,MA,12-02-1983,F,Single,05-06-2011,NULL,Active,Production       ,LinkedIn,Fully Meets,4.2,4
103,Christopher Martinez,51337,Production Technician I,MA,10-01-1990,F,Married,03-03-2015,NULL,Active,Production       ,LinkedIn,Fully Meets,3.73,3
104,Jessica Foster,51505,Production Technician I,MA,05-05-1970,F,Divorced,11-07-2011,11-05-2016,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4.24,4
105,Ryan Turner,59370,Area Sales Manager,OH,07-10-1971,F,Widowed,07-07-2014,09-05-2015,Terminated for Cause,Sales,CareerBuilder,Fully Meets,3.97,4
106,Danielle Collins,54933,Production Technician I,MA,08-09-1974,M ,Married,04-02-2012,06-05-2015,Voluntarily Terminated,Production       ,Diversity Job Fair,Needs Improvement,3.97,4
107,Benjamin Campbell,57815,Production Technician I,MA,05-08-1980,F,Single,09-09-2014,NULL,Active,Production       ,Indeed,Exceeds,3.9,4
108,Samantha Griffin,61555,Area Sales Manager,IN,09-02-1989,F,Single,02-06-2015,NULL,Active,Sales,Indeed,Fully Meets,4.5,5
109,Joseph Nelson,114800,Database Administrator,MA,10-03-1971,F,Single,02-06-2015,03-05-2015,Terminated for Cause,IT/IS,Indeed,Fully Meets,4.6,4
110,Ashley Simmons,74679,IT Support,MA,11-04-1989,M ,Married,03-03-2015,NULL,Active,IT/IS,LinkedIn,Fully Meets,4.3,5
111,Nicholas Richardson,53018,Production Technician I,MA,06-08-1992,F,Single,11-11-2013,NULL,Active,Production       ,Indeed,Fully Meets,4.3,5
112,Jennifer Parker,59892,Production Technician I,MA,09-09-1969,M ,Divorced,07-11-2011,NULL,Active,Production       ,Diversity Job Fair,Exceeds,4.5,4
113,John Thompson,68898,Production Technician II,MA,10-12-1964,M ,Married,04-06-2010,05-03-2011,Voluntarily Terminated,Production       ,Diversity Job Fair,PIP,3,3
114,Laura Wright,61242,IT Support,MA,04-06-1981,F,Separated,01-05-2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.61,4
115,Zachary Reed,66825,Production Technician II,MA,05-05-1986,F,Married,05-12-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,4.6,3
116,Amanda Morris,48285,Production Technician I,MA,05-01-1979,M ,Married,07-02-2012,NULL,Active,Production       ,LinkedIn,Fully Meets,5,3
117,William Carter,66149,Production Technician II,MA,12-08-1983,F,Separated,09-03-2013,NULL,Active,Production       ,Google Search,Fully Meets,4.4,5
118,Emily Lewis,49256,Production Technician I,MA,10-09-1974,F,Married,08-09-2013,NULL,Active,Production       ,LinkedIn,Fully Meets,4.1,5
119,James Evans,62957,Production Manager,MA,07-11-1981,M ,Divorced,06-02-2015,NULL,Active,Production       ,Employee Referral,Fully Meets,4.63,3
120,Brittany Davis,63813,Production Technician I,MA,05-01-1983,F,Divorced,02-01-2011,01-11-2014,Voluntarily Terminated,Production       ,CareerBuilder,Fully Meets,5,5
121,Daniel Hernandez,99020,BI Developer,MA,06-03-1989,M ,Married,04-02-2017,NULL,Active,IT/IS,Indeed,Fully Meets,4.2,5
122,Amanda Hayes,71707,Area Sales Manager,TN,02-09-1969,M ,Single,03-07-2012,10-01-2014,Voluntarily Terminated,Sales,LinkedIn,Fully Meets,4.5,5
123,Matthew Reed,54828,Production Technician I,MA,03-03-1977,F,Married,11-08-2011,NULL,Active,Production       ,Google Search,Fully Meets,4.2,4
124,Erica Bell,64246,Production Technician II,MA,08-10-1988,M ,Single,11-11-2013,NULL,Active,Production       ,LinkedIn,Fully Meets,5,3
125,Christopher Scott,52177,Production Technician I,MA,08-08-1952,F,Single,01-09-2012,12-05-2015,Voluntarily Terminated,Production       ,CareerBuilder,Fully Meets,4.64,4
126,Sarah Hill,62065,Production Technician I,MA,05-02-1974,F,Married,05-12-2014,NULL,Active,Production       ,CareerBuilder,Exceeds,4.76,4
127,David Parker,46998,Production Technician I,MA,01-04-1984,M ,Single,08-03-2012,NULL,Active,Production       ,Google Search,Fully Meets,4.17,4
128,Christina Russell,68099,Production Technician II,MA,08-07-1972,F,Single,01-10-2011,06-08-2013,Voluntarily Terminated,Production       ,CareerBuilder,Fully Meets,5,3
129,Michael Phillips,70545,Area Sales Manager,NH,09-04-1988,M ,Married,08-08-2014,NULL,Active,Sales,Indeed,Fully Meets,3.6,5
130,Lauren King,63478,Production Technician II,MA,02-06-1984,F,Married,08-05-2011,04-07-2012,Voluntarily Terminated,Production       ,Indeed,Fully Meets,3.03,5
131,Joshua Lewis,97999,Database Administrator,MA,02-01-1984,F,Single,03-03-2015,NULL,Active,IT/IS,Indeed,Fully Meets,4.48,5
132,Stephanie Wilson,180000,Director of Sales,RI,03-07-1966,F,Married,05-05-2014,NULL,Active,Sales,LinkedIn,Fully Meets,4.5,4
133,Jason Garcia,49920,Administrative Assistant,MA,09-06-1985,F,Married,02-06-2015,04-05-2015,Terminated for Cause,Admin Offices,Indeed,Fully Meets,3.24,3
134,Rebecca Green,55425,Production Technician I,MA,06-10-1986,F,Single,02-02-2012,NULL,Active,Production       ,LinkedIn,Fully Meets,4.8,4
135,Andrew Taylor,69340,Production Technician II,MA,03-11-1984,F,Single,06-06-2016,NULL,Active,Production       ,LinkedIn,Fully Meets,3,5
136,Jessica Wright,64995,Production Technician II,MA,05-07-1992,F,Separated,06-05-2015,NULL,Active,Production       ,Indeed,Fully Meets,4.5,3
137,Robert Lopez,68182,Production Technician II,MA,09-02-1976,F,Divorced,02-01-2011,04-01-2013,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3.72,3
138,Melissa Bennett,83082,Production Manager,MA,11-05-1976,M ,Married,02-01-2011,09-04-2012,Voluntarily Terminated,Production       ,Indeed,Needs Improvement,2.34,2
139,William Adams,51908,Production Technician I,MA,01-08-1991,F,Single,08-09-2013,NULL,Active,Production       ,Indeed,Fully Meets,3.99,3
140,Samantha Morris,61242,Production Technician I,MA,09-11-1972,F,Single,11-05-2012,NULL,Active,Production       ,LinkedIn,Fully Meets,4.1,3
141,Benjamin Young,45069,Production Technician I,MA,03-02-1966,F,Divorced,09-03-2013,NULL,Active,Production       ,Employee Referral,Fully Meets,4.3,5
142,Elizabeth Campbell,60724,Production Technician II,MA,11-06-1986,F,Divorced,07-05-2011,NULL,Active,Production       ,LinkedIn,Exceeds,4.6,4
143,Jacob Richardson,60436,Production Technician I,MA,04-03-1964,F,Separated,01-06-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,5,5
144,Ashley Jenkins,46837,Production Technician I,MA,08-09-1959,M ,Married,11-07-2011,04-09-2018,Voluntarily Terminated,Production       ,CareerBuilder,Exceeds,4.7,4
145,Alexander Martin,105700,Database Administrator,MA,11-07-1986,F,Married,01-05-2015,NULL,Active,IT/IS,Indeed,Fully Meets,3.75,3
146,Nicole Patterson,63322,Production Technician II,MA,09-08-1969,F,Single,07-07-2014,NULL,Active,Production       ,LinkedIn,Exceeds,4.3,3
147,Kevin Turner,61154,Production Technician I,MA,04-07-1986,F,Married,01-10-2011,04-01-2016,Voluntarily Terminated,Production       ,CareerBuilder,Fully Meets,4,4
148,Lindsey Collins,68999,Sales Manager,PA,11-11-1989,F,Single,11-07-2011,04-04-2014,Voluntarily Terminated,Sales,Google Search,Fully Meets,4.5,5
149,Michael Thompson,50482,Production Technician I,MA,01-09-1976,M ,Single,09-03-2013,NULL,Active,Production       ,Indeed,Fully Meets,3.07,4
150,Amanda Simmons,65310,Area Sales Manager,CO,11-07-1979,M ,Single,08-09-2013,NULL,Active,Sales,Indeed,Fully Meets,4.3,5
151,Christopher Smith,250000,President & CEO,MA,09-01-1954,F,Married,07-02-2012,NULL,Active,Executive Office,Indeed,Fully Meets,4.83,3
152,Calvin Brooks,54005,Production Technician I,MA,12-08-1973,F,Married,09-06-2011,06-04-2015,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3.6,5
153,Emily Watson,45433,Production Technician I,MA,10-08-1970,F,Married,09-06-2011,01-09-2014,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3.49,4
154,Owen Stewart,46654,Production Technician I,MA,11-10-1977,M ,Single,02-07-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,3.1,3
155,Lily Anderson,63973,Production Technician I,MA,02-02-1980,M ,Married,01-10-2011,NULL,Active,Production       ,Indeed,Fully Meets,3.38,3
156,Gabriel Murphy,71339,Area Sales Manager,NY,02-04-1969,M ,Single,03-07-2011,NULL,Active,Sales,Diversity Job Fair,Fully Meets,3.65,5
157,Sophia Mitchell,93206,Sr. Network Engineer,MA,04-03-1986,M ,Married,11-10-2014,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.46,5
158,Elijah Campbell,82758,Production Manager,MA,07-01-1972,M ,Married,01-10-2011,12-12-2015,Terminated for Cause,Production       ,Employee Referral,Fully Meets,4.78,4
159,Ava Bennett,66074,Production Technician II,MA,07-05-1979,F,Divorced,01-07-2013,03-01-2014,Voluntarily Terminated,Production       ,Indeed,Fully Meets,4.52,3
160,Julian Sanchez,46120,Production Technician I,MA,12-09-1986,M ,Married,07-09-2012,NULL,Active,Production       ,LinkedIn,Fully Meets,5,5
161,Grace Roberts,64520,Accountant I,MA,04-06-1984,M ,Divorced,01-06-2014,NULL,Active,Admin Offices,Website,Fully Meets,5,4
162,Isaac Foster,61962,Production Technician II,MA,05-09-1984,M ,Married,04-02-2012,04-05-2013,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4.9,3
163,Olivia Henderson,81584,Senior BI Developer,MA,06-04-1987,F,Single,10-02-2016,NULL,Active,IT/IS,Indeed,Fully Meets,4.1,5
164,Mason Clarke,63676,Production Technician I,MA,01-07-1979,F,Single,09-06-2011,08-09-2018,Voluntarily Terminated,Production       ,CareerBuilder,Fully Meets,4.88,3
165,Chloe Lewis,93046,Shared Services Manager,MA,06-10-1984,M ,Married,01-05-2016,NULL,Active,Admin Offices,CareerBuilder,Fully Meets,4.1,4
166,Samuel Rivera,64738,Production Technician I,MA,09-02-1982,M ,Married,05-04-2012,NULL,Active,Production       ,Google Search,Fully Meets,4.1,3
167,Harper Price,70468,Area Sales Manager,UT,12-07-1988,M ,Separated,04-03-2012,NULL,Active,Sales,Website,Fully Meets,4.53,3
168,Ethan Adams,77915,Production Manager,MA,10-06-1981,F,Married,09-03-2013,NULL,Active,Production       ,Website,Exceeds,4.1,3
169,Amelia Bryant,52624,Production Technician I,MA,03-06-1981,F,Married,07-05-2011,09-06-2018,Voluntarily Terminated,Production       ,Indeed,Fully Meets,3.18,4
170,Benjamin Carter,63450,Production Technician II,MA,03-09-1979,M ,Married,07-08-2013,NULL,Active,Production       ,LinkedIn,Fully Meets,4,3
171,Scarlett Hughes,51777,IT Support,CT,10-05-1988,F,Single,01-01-2011,NULL,Active,IT/IS,Diversity Job Fair,Exceeds,4.64,4
172,Liam Turner,67237,Production Technician II,MA,12-06-1976,F,Widowed,07-08-2013,09-05-2016,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,4.65,4
173,Abigail Reed,73330,Production Technician II,MA,03-08-1982,F,Single,08-09-2013,NULL,Active,Production       ,Indeed,Exceeds,4.2,4
174,Caleb Morgan,52057,Production Technician I,MA,10-02-1975,F,Married,02-06-2015,NULL,Active,Production       ,Website,Fully Meets,5,3
175,Sofia Wright,47434,Production Technician I,MA,02-04-1973,F,Single,11-07-2011,11-04-2015,Voluntarily Terminated,Production       ,Diversity Job Fair,Exceeds,5,4
176,Henry Gonzalez,52788,Production Technician I,MA,11-09-1972,M ,Widowed,09-04-2012,09-06-2017,Voluntarily Terminated,Production       ,Indeed,Fully Meets,3.08,4
177,Victoria Parker,45395,Production Technician I,MA,07-07-1986,F,Single,01-06-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,4.6,4
178,Alexander Jenkins,62385,Production Technician II,MA,08-05-1976,F,Married,05-11-2016,NULL,Active,Production       ,LinkedIn,Fully Meets,5,3
179,Lucy Bell,68407,Production Technician II,MA,12-10-1986,F,Married,07-05-2011,08-09-2012,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,5,4
